"행정구역","2025년08월_총인구수","2025년08월_세대수","2025년08월_세대당 인구","2025년08월_남자 인구수","2025년08월_여자 인구수","2025년08월_남여 비율"
"경기도 용인시 (4146000000)","1,093,639","449,693","          2.43","541,919","551,720","          0.98"
"경기도 용인시 처인구 (4146100000)","284,229","130,082","          2.18","145,637","138,592","          1.05"
"경기도 용인시 처인구 포곡읍(4146125000)","31,169","14,179","          2.20","16,145","15,024","          1.07"
"경기도 용인시 처인구 모현읍(4146125300)","33,990","15,636","          2.17","17,551","16,439","          1.07"
"경기도 용인시 처인구 이동읍(4146125600)","19,140","8,938","          2.14","9,851","9,289","          1.06"
"경기도 용인시 처인구 남사읍(4146125900)","23,562","10,001","          2.36","11,924","11,638","          1.02"
"경기도 용인시 처인구 원삼면(4146134000)","8,113","4,476","          1.81","4,292","3,821","          1.12"
"경기도 용인시 처인구 백암면(4146135000)","8,089","4,280","          1.89","4,588","3,501","          1.31"
"경기도 용인시 처인구 양지면(4146136000)","22,084","10,519","          2.10","11,491","10,593","          1.08"
"경기도 용인시 처인구 중앙동(4146151000)","26,857","13,577","          1.98","13,553","13,304","          1.02"
"경기도 용인시 처인구 역북동(4146152500)","34,675","15,681","          2.21","17,480","17,195","          1.02"
"경기도 용인시 처인구 삼가동(4146152600)","11,912","4,750","          2.51","5,910","6,002","          0.98"
"경기도 용인시 처인구 유림1동(4146153500)","14,012","7,159","          1.96","7,224","6,788","          1.06"
"경기도 용인시 처인구 유림2동(4146153600)","38,358","14,868","          2.58","19,304","19,054","          1.01"
"경기도 용인시 처인구 동부동(4146154000)","12,268","6,018","          2.04","6,324","5,944","          1.06"
"경기도 용인시 기흥구 (4146300000)","434,629","176,852","          2.46","214,022","220,607","          0.97"
"경기도 용인시 기흥구 신갈동(4146351000)","36,284","15,990","          2.27","18,031","18,253","          0.99"
"경기도 용인시 기흥구 영덕1동(4146351600)","34,223","13,812","          2.48","16,968","17,255","          0.98"
"경기도 용인시 기흥구 영덕2동(4146351700)","19,137","7,949","          2.41","9,409","9,728","          0.97"
"경기도 용인시 기흥구 구갈동(4146352000)","39,987","18,012","          2.22","20,235","19,752","          1.02"
"경기도 용인시 기흥구 상갈동(4146353000)","12,459","6,128","          2.03","6,449","6,010","          1.07"
"경기도 용인시 기흥구 보라동(4146353500)","32,443","12,498","          2.60","15,991","16,452","          0.97"
"경기도 용인시 기흥구 기흥동(4146354000)","20,804","9,138","          2.28","10,307","10,497","          0.98"
"경기도 용인시 기흥구 서농동(4146355000)","24,601","11,023","          2.23","12,474","12,127","          1.03"
"경기도 용인시 기흥구 구성동(4146356000)","38,542","15,341","          2.51","18,492","20,050","          0.92"
"경기도 용인시 기흥구 마북동(4146357000)","33,544","13,152","          2.55","16,393","17,151","          0.96"
"경기도 용인시 기흥구 동백1동(4146357200)","31,161","11,611","          2.68","14,947","16,214","          0.92"
"경기도 용인시 기흥구 동백2동(4146357500)","26,263","9,433","          2.78","12,866","13,397","          0.96"
"경기도 용인시 기흥구 동백3동(4146357700)","26,691","10,144","          2.63","12,991","13,700","          0.95"
"경기도 용인시 기흥구 상하동(4146358600)","23,031","9,183","          2.51","11,134","11,897","          0.94"
"경기도 용인시 기흥구 보정동(4146359000)","35,459","13,438","          2.64","17,335","18,124","          0.96"
"경기도 용인시 수지구 (4146500000)","374,781","142,759","          2.63","182,260","192,521","          0.95"
"경기도 용인시 수지구 풍덕천1동(4146551000)","34,700","15,707","          2.21","17,334","17,366","          1.00"
"경기도 용인시 수지구 풍덕천2동(4146552000)","41,299","15,420","          2.68","20,328","20,971","          0.97"
"경기도 용인시 수지구 신봉동(4146553000)","41,083","14,739","          2.79","19,825","21,258","          0.93"
"경기도 용인시 수지구 죽전1동(4146554000)","28,955","11,055","          2.62","13,971","14,984","          0.93"
"경기도 용인시 수지구 죽전2동(4146555000)","17,395","7,411","          2.35","8,533","8,862","          0.96"
"경기도 용인시 수지구 죽전3동(4146555500)","26,320","10,872","          2.42","12,793","13,527","          0.95"
"경기도 용인시 수지구 동천동(4146556000)","50,766","19,708","          2.58","24,870","25,896","          0.96"
"경기도 용인시 수지구 상현1동(4146557000)","19,782","6,538","          3.03","9,459","10,323","          0.92"
"경기도 용인시 수지구 상현2동(4146558000)","32,720","11,429","          2.86","15,822","16,898","          0.94"
"경기도 용인시 수지구 상현3동(4146558500)","27,310","11,135","          2.45","13,141","14,169","          0.93"
"경기도 용인시 수지구 성복동(4146559000)","54,451","18,745","          2.90","26,184","28,267","          0.93"
